id,name,lat,lng
1812,Słoneczna,52.457283,20.957037
1813,Przedpełskiego,52.462278,20.944185
1814,Wodociąg Płn.,52.470879,20.949302
1815,Wieliszew-Plaża,52.478898,20.945485
1817,Polna,52.470546,20.927118
1818,Sosnowa,52.475927,20.914997
1819,Komornica-Szkoła,52.483010,20.923404
1821,Wiśniowa,52.452661,20.941900
1822,Poniatów,52.453320,20.922090
1825,Kałuszyn,52.453164,20.871863
1826,Warszawska,52.448559,20.860622
1827,Wiejska,52.443098,20.847028
1828,Spacerowa,52.441240,20.840170
1829,Krubin,52.442765,20.814894
1830,Kwiatowa,52.442104,20.800688
1831,Dworcowa,52.438780,20.779123
1834,Warszawska,52.415998,20.964472
1835,Wolska,52.411723,20.958830
1839,Rozwojowa,52.458819,20.908332
1840,OSP Skrzeszew,52.462154,20.894581
1841,Olszewnica Stara,52.441443,20.863402
1843,Nowodworska,52.427603,20.956302
1844,Szkolna,52.424495,20.951526
1845,Fabryczna,52.419134,20.946185
1846,Rynek,52.399473,20.937705
1847,Solidarności,52.449073,20.968512
1848,11 Listopada,52.296966,21.154955
1849,Paderewskiego,52.294799,21.158890
1850,Os.Wituś,52.298114,21.161579
1851,Urząd Miasta,52.311855,21.153349
1852,Wolności,52.315073,21.157751
1853,Młodzieżowa,52.315243,21.152280
1854,Sowińskiego,52.315890,21.146149
1855,Powstańców,52.314291,21.143657
1856,Marecka,52.311664,21.135735
1857,Drewnicka,52.312423,21.129128
1859,Rzeczna,52.445520,20.767270
1860,Mickiewicza,52.306629,21.157086
1861,Słoneczna,52.398153,20.951261
1862,Polna,52.440903,20.822609
1863,Królewska,52.396650,21.044639
1864,Andersena,52.282917,21.139519
1865,Łąki,52.441032,21.139997
1866,Biedronki,52.444504,21.122590
1868,PKP Dąbkowizna,52.423577,21.083412
1869,Majowa,52.414120,21.091613
1870,Wirażowa,52.409527,21.100410
1871,GOK,52.408204,20.973958
1872,Wiśniowa,52.410871,20.963450
1873,Przyszłość,52.394130,21.045166
1874,Rodzinna,52.387188,21.043971
1875,Księżycowa,52.376404,21.040236
1876,Pałacowa,52.448765,20.775833
1877,Sielska,52.380212,21.040586
1878,Okunin,52.435998,20.760849
1879,Przemysłowa,52.431207,20.746794
1880,Straż,52.430444,20.738222
1881,Zdobywców Kosmosu,52.430930,20.721039
1882,Urząd Miasta,52.430581,20.709710
1883,Nowolipie,52.423171,21.050534
